Z (m),H (m),T (K),P (mb),P/P0,rho (kg/m^3),rho/rho0
-4996,-5000,320.650,1.7768,1.7536,1.9305,1.5759
-4946,-4950,320.325,1.7674,1.7443,1.9222,1.5691
-4896,-4900,320.000,1.7580,1.7350,1.9139,1.5623
-4846,-4850,319.675,1.7486,1.7257,1.9056,1.5556
-4796,-4800,319.350,1.7393,1.7165,1.8974,1.5489
-4746,-4750,319.025,1.7300,1.7074,1.8892,1.5422
-4697,-4700,318.700,1.7208,1.6983,1.8810,1.5355
-4647,-4650,318.375,1.7116,1.6892,1.8728,1.5289
-4597,-4600,318.050,1.7024,1.6801,1.8647,1.5222
-4547,-4550,317.725,1.6933,1.6711,1.8566,1.5156
-4497,-4500,317.400,1.6842,1.6622,1.8486,1.5090
-4447,-4450,317.075,1.6751,1.6532,1.8405,1.5025
-4397,-4400,316.750,1.6661,1.6443,1.8325,1.4959
-4347,-4350,316.425,1.6572,1.6355,1.8245,1.4894
-4297,-4300,316.100,1.6482,1.6267,1.8166,1.4829
-4247,-4250,315.775,1.6394,1.6179,1.8086,1.4764
-4197,-4200,315.450,1.6305,1.6092,1.8007,1.4700
-4147,-4150,315.125,1.6217,1.6005,1.7928,1.4635
-4097,-4100,314.800,1.6129,1.5918,1.7850,1.4571
-4047,-4050,314.475,1.6042,1.5832,1.7771,1.4507
-3997,-4000,314.150,1.5955,1.5746,1.7693,1.4444
-3948,-3950,313.825,1.5868,1.5661,1.7616,1.4380
-3898,-3900,313.500,1.5782,1.5576,1.7538,1.4317
-3848,-3850,313.175,1.5696,1.5491,1.7461,1.4254
-3798,-3800,312.850,1.5611,1.5407,1.7384,1.4191
-3748,-3750,312.525,1.5526,1.5323,1.7307,1.4128
-3698,-3700,312.200,1.5441,1.5239,1.7231,1.4066
-3648,-3650,311.875,1.5357,1.5156,1.7154,1.4004
-3598,-3600,311.550,1.5273,1.5073,1.7078,1.3942
-3548,-3550,311.225,1.5189,1.4991,1.7003,1.3880
-3498,-3500,310.900,1.5106,1.4909,1.6927,1.3818
-3448,-3450,310.575,1.5023,1.4827,1.6852,1.3757
-3398,-3400,310.250,1.4941,1.4746,1.6777,1.3696
-3348,-3350,309.925,1.4859,1.4665,1.6703,1.3635
-3298,-3300,309.600,1.4777,1.4584,1.6628,1.3574
-3248,-3250,309.275,1.4696,1.4504,1.6554,1.3513
-3198,-3200,308.950,1.4615,1.4424,1.6480,1.3453
-3148,-3150,308.625,1.4534,1.4344,1.6406,1.3393
-3098,-3100,308.300,1.4454,1.4265,1.6333,1.3333
-3049,-3050,307.975,1.4374,1.4186,1.6260,1.3273
-2999,-3000,307.650,1.4295,1.4108,1.6187,1.3214
-2949,-2950,307.325,1.4215,1.4029,1.6114,1.3155
-2899,-2900,307.000,1.4136,1.3952,1.6042,1.3095
-2849,-2850,306.675,1.4058,1.3874,1.5970,1.3037
-2799,-2800,306.350,1.3980,1.3797,1.5898,1.2978
-2749,-2750,306.025,1.3902,1.3720,1.5826,1.2919
-2699,-2700,305.700,1.3825,1.3644,1.5755,1.2861
-2649,-2650,305.375,1.3748,1.3568,1.5684,1.2803
