M,T/T*,p/p*,rho/rho*,p0/p0*,4fL*/D
0.02,1.2000,54.770,45.650,28.940,1778.0
0.04,1.2000,27.380,22.830,14.480,440.40
0.06,1.1990,18.250,15.220,9.6660,193.00
0.08,1.1980,13.680,11.420,7.2620,106.70
0.10,1.1980,10.940,9.1380,5.8220,66.920
0.12,1.1970,9.1160,7.6180,4.8640,45.410
0.14,1.1950,7.8090,6.5330,4.1820,32.510
0.16,1.1940,6.8290,5.7200,3.6730,24.200
0.18,1.1920,6.0660,5.0880,3.2780,18.540
0.20,1.1900,5.4550,4.5830,2.9640,14.530
0.22,1.1880,4.9550,4.1690,2.7080,11.600
0.24,1.1860,4.5380,3.8250,2.4960,9.3860
0.26,1.1840,4.1850,3.5350,2.3170,7.6880
0.28,1.1810,3.8820,3.2860,2.1660,6.3570
0.30,1.1790,3.6190,3.0700,2.0350,5.2990
0.32,1.1760,3.3890,2.8820,1.9220,4.4470
0.34,1.1730,3.1850,2.7160,1.8230,3.7520
0.36,1.1700,3.0040,2.5680,1.7360,3.1800
0.38,1.1660,2.8420,2.4370,1.6590,2.7050
0.40,1.1630,2.6960,2.3180,1.5900,2.3080
0.42,1.1590,2.5630,2.2120,1.5290,1.9740
0.44,1.1550,2.4430,2.1140,1.4740,1.6920
0.46,1.1510,2.3330,2.0260,1.4250,1.4510
0.48,1.1470,2.2310,1.9450,1.3800,1.2450
0.50,1.1430,2.1380,1.8710,1.3400,1.0690
0.52,1.1380,2.0520,1.8020,1.3030,0.91740
0.54,1.1340,1.9720,1.7390,1.2700,0.78660
0.56,1.1290,1.8980,1.6800,1.2400,0.67360
0.58,1.1240,1.8280,1.6260,1.2130,0.57570
0.60,1.1190,1.7630,1.5750,1.1880,0.49080
0.62,1.1140,1.7030,1.5280,1.1660,0.41720
0.64,1.1090,1.6460,1.4840,1.1450,0.35330
0.66,1.1040,1.5920,1.4420,1.1270,0.29790
0.68,1.0980,1.5410,1.4030,1.1110,0.24980
0.70,1.0930,1.4930,1.3670,1.0940,0.20810
0.72,1.0870,1.4480,1.3320,1.0810,0.17210
0.74,1.0820,1.4050,1.2990,1.0680,0.14110
0.76,1.0760,1.3650,1.2690,1.0570,0.11450
0.78,1.0700,1.3260,1.2400,1.0470,0.09167
0.80,1.0640,1.2890,1.2120,1.0380,0.07229
0.82,1.0580,1.2540,1.1860,1.0300,0.05593
0.84,1.0520,1.2210,1.1610,1.0240,0.04226
0.86,1.0450,1.1890,1.1370,1.0180,0.03097
0.88,1.0390,1.1580,1.1150,1.0130,0.02179
0.90,1.0330,1.1290,1.0930,1.0090,0.01451
0.92,1.0260,1.1010,1.0730,1.0060,0.008913
0.94,1.0200,1.0740,1.0530,1.0030,0.004815
0.96,1.0130,1.0490,1.0350,1.0010,0.002057
0.98,1.0070,1.0240,1.0170,1.0000,0.0004947
1.00,1.0000,1.0000,1.0000,1.0000,0.0000
1.02,0.9933,0.9771,0.9837,1.0000,0.0004587
1.04,0.9866,0.9551,0.9681,1.0010,0.001768
