M,p2/p1,rho2/rho1,T2/T1,p02/p01,p02/p1,M2
1.00,1.0000,1.0000,1.0000,1.0000,1.8930,1.0000
1.02,1.0470,1.0330,1.0130,1.0000,1.9380,0.9805
1.04,1.0950,1.0670,1.0260,0.9999,1.9840,0.9620
1.06,1.1440,1.1010,1.0390,0.9998,2.0320,0.9444
1.08,1.1940,1.1350,1.0520,0.9994,2.0820,0.9277
1.10,1.2450,1.1690,1.0650,0.9989,2.1330,0.9118
1.12,1.2970,1.2030,1.0780,0.9982,2.1850,0.8966
1.14,1.3500,1.2380,1.0900,0.9973,2.2390,0.8820
1.16,1.4030,1.2720,1.1030,0.9961,2.2940,0.8682
1.18,1.4580,1.3070,1.1150,0.9946,2.3500,0.8549
1.20,1.5130,1.3420,1.1280,0.9928,2.4080,0.8422
1.22,1.5700,1.3760,1.1410,0.9907,2.4660,0.8300
1.24,1.6270,1.4110,1.1530,0.9884,2.5260,0.8183
1.26,1.6860,1.4460,1.1660,0.9857,2.5880,0.8071
1.28,1.7450,1.4810,1.1780,0.9827,2.6500,0.7963
1.30,1.8050,1.5160,1.1910,0.9794,2.7140,0.7860
1.32,1.8660,1.5510,1.2040,0.9758,2.7780,0.7760
1.34,1.9280,1.5850,1.2160,0.9718,2.8440,0.7664
1.36,1.9910,1.6200,1.2290,0.9676,2.9120,0.7572
1.38,2.0550,1.6550,1.2420,0.9630,2.9800,0.7483
1.40,2.1200,1.6900,1.2550,0.9582,3.0490,0.7397
1.42,2.1860,1.7240,1.2680,0.9531,3.1200,0.7314
1.44,2.2530,1.7590,1.2810,0.9476,3.1910,0.7235
1.46,2.3200,1.7930,1.2940,0.9420,3.2640,0.7157
1.48,2.3890,1.8280,1.3070,0.9360,3.3380,0.7083
1.50,2.4580,1.8620,1.3200,0.9298,3.4130,0.7011
1.52,2.5290,1.8960,1.3340,0.9233,3.4890,0.6941
1.54,2.6000,1.9300,1.3470,0.9166,3.5670,0.6874
1.56,2.6730,1.9640,1.3610,0.9097,3.6450,0.6809
1.58,2.7460,1.9980,1.3740,0.9026,3.7240,0.6746
1.60,2.8200,2.0320,1.3880,0.8952,3.8050,0.6684
1.62,2.8950,2.0650,1.4020,0.8877,3.8870,0.6625
1.64,2.9710,2.0990,1.4160,0.8799,3.9690,0.6568
1.66,3.0480,2.1320,1.4300,0.8720,4.0530,0.6512
1.68,3.1260,2.1650,1.4440,0.8639,4.1380,0.6458
1.70,3.2050,2.1980,1.4580,0.8557,4.2240,0.6405
1.72,3.2850,2.2300,1.4730,0.8474,4.3110,0.6355
1.74,3.3660,2.2630,1.4870,0.8389,4.3990,0.6305
1.76,3.4470,2.2950,1.5020,0.8302,4.4880,0.6257
1.78,3.5300,2.3270,1.5170,0.8215,4.5780,0.6210
1.80,3.6130,2.3590,1.5320,0.8127,4.6700,0.6165
1.82,3.6980,2.3910,1.5470,0.8038,4.7620,0.6121
1.84,3.7830,2.4220,1.5620,0.7948,4.8550,0.6078
1.86,3.8700,2.4540,1.5770,0.7857,4.9500,0.6036
1.88,3.9570,2.4850,1.5920,0.7765,5.0450,0.5996
1.90,4.0450,2.5160,1.6080,0.7674,5.1420,0.5956
1.92,4.1340,2.5460,1.6240,0.7581,5.2390,0.5918
1.94,4.2240,2.5770,1.6390,0.7488,5.3380,0.5880
1.96,4.3150,2.6070,1.6550,0.7395,5.4380,0.5844
1.98,4.4070,2.6370,1.6710,0.7302,5.5390,0.5808
2.00,4.5000,2.6670,1.6870,0.7209,5.6400,0.5774
2.05,4.7360,2.7400,1.7290,0.6975,5.9000,0.5691
2.10,4.9780,2.8120,1.7700,0.6742,6.1650,0.5613
2.15,5.2260,2.8820,1.8130,0.6511,6.4380,0.5540
2.20,5.4800,2.9510,1.8570,0.6281,6.7160,0.5471
2.25,5.7400,3.0190,1.9010,0.6055,7.0020,0.5406
2.30,6.0050,3.0850,1.9470,0.5833,7.2940,0.5344
2.35,6.2760,3.1490,1.9930,0.5615,7.5920,0.5286
2.40,6.5530,3.2120,2.0400,0.5401,7.8970,0.5231
2.45,6.8360,3.2730,2.0880,0.5193,8.2080,0.5179
2.50,7.1250,3.3330,2.1370,0.4990,8.5260,0.5130
2.55,7.4200,3.3920,2.1870,0.4793,8.8500,0.5083
2.60,7.7200,3.4490,2.2380,0.4601,9.1810,0.5039
2.65,8.0260,3.5050,2.2900,0.4416,9.5190,0.4996
2.70,8.3380,3.5590,2.3430,0.4236,9.8620,0.4956
2.75,8.6560,3.6120,2.3970,0.4062,10.210,0.4918
2.80,8.9800,3.6640,2.4510,0.3895,10.570,0.4882
2.85,9.3100,3.7140,2.5070,0.3733,10.930,0.4847
2.90,9.6450,3.7630,2.5630,0.3577,11.300,0.4814
2.95,9.9860,3.8110,2.6210,0.3428,11.680,0.4782
3.00,10.330,3.8570,2.6790,0.3283,12.060,0.4752
3.05,10.690,3.9020,2.7380,0.3145,12.450,0.4723
3.10,11.040,3.9470,2.7990,0.3012,12.850,0.4695
3.15,11.410,3.9900,2.8600,0.2885,13.250,0.4669
3.20,11.780,4.0310,2.9220,0.2762,13.660,0.4643
3.25,12.160,4.0720,2.9850,0.2645,14.070,0.4619
3.30,12.540,4.1120,3.0490,0.2533,14.490,0.4596
3.35,12.930,4.1510,3.1140,0.2425,14.920,0.4573
3.40,13.320,4.1880,3.1800,0.2322,15.350,0.4552
