M,nu,mu
1.00,0.0000,90.000
1.02,0.1257,78.640
1.04,0.3510,74.060
1.06,0.6367,70.630
1.08,0.9680,67.810
1.10,1.3360,65.380
1.12,1.7350,63.230
1.14,2.1600,61.310
1.16,2.6070,59.550
1.18,3.0740,57.940
1.20,3.5580,56.440
1.22,4.0570,55.050
1.24,4.5690,53.750
1.26,5.0930,52.530
1.28,5.6270,51.380
1.30,6.1700,50.280
1.32,6.7210,49.250
1.34,7.2790,48.270
1.36,7.8440,47.330
1.38,8.4130,46.440
1.40,8.9870,45.580
1.42,9.5650,44.770
1.44,10.150,43.980
1.46,10.730,43.230
1.48,11.320,42.510
1.50,11.910,41.810
1.52,12.490,41.140
1.54,13.090,40.490
1.56,13.680,39.870
1.58,14.270,39.270
1.60,14.860,38.680
1.62,15.450,38.120
1.64,16.040,37.570
1.66,16.630,37.040
1.68,17.220,36.530
1.70,17.810,36.030
1.72,18.400,35.550
1.74,18.980,35.080
1.76,19.560,34.620
1.78,20.150,34.180
1.80,20.730,33.750
1.82,21.300,33.330
1.84,21.880,32.920
1.86,22.450,32.520
1.88,23.020,32.130
1.90,23.590,31.760
1.92,24.150,31.390
1.94,24.710,31.030
1.96,25.270,30.680
1.98,25.830,30.330
2.00,26.380,30.000
2.05,27.750,29.200
2.10,29.100,28.440
2.15,30.430,27.720
2.20,31.730,27.040
2.25,33.020,26.390
2.30,34.280,25.770
2.35,35.530,25.180
2.40,36.750,24.620
2.45,37.950,24.090
2.50,39.120,23.580
2.55,40.280,23.090
2.60,41.410,22.620
2.65,42.530,22.170
2.70,43.620,21.740
2.75,44.690,21.320
2.80,45.750,20.920
2.85,46.780,20.540
2.90,47.790,20.170
2.95,48.780,19.810
3.00,49.760,19.470
3.05,50.710,19.140
3.10,51.650,18.820
3.15,52.570,18.510
3.20,53.470,18.210
3.25,54.350,17.920
3.30,55.220,17.640
3.35,56.070,17.370
3.40,56.910,17.100
3.45,57.730,16.850
3.50,58.530,16.600
3.55,59.320,16.360
3.60,60.090,16.130
3.65,60.850,15.900
3.70,61.600,15.680
3.75,62.330,15.470
3.80,63.040,15.260
3.85,63.750,15.050
3.90,64.440,14.860
3.95,65.120,14.660
4.00,65.780,14.480
4.05,66.440,14.290
4.10,67.080,14.120
4.15,67.710,13.940
4.20,68.330,13.770
4.25,68.940,13.610
4.30,69.540,13.450
4.35,70.130,13.290
4.40,70.710,13.140
4.45,71.270,12.990
4.50,71.830,12.840
4.55,72.380,12.700
4.60,72.920,12.560
4.65,73.450,12.420
4.70,73.970,12.280
4.75,74.480,12.150
4.80,74.990,12.020
4.85,75.480,11.900
4.90,75.970,11.780
4.95,76.450,11.660
5.00,76.920,11.540
5.10,77.840,11.310
5.20,78.730,11.090
5.30,79.600,10.880
5.40,80.430,10.670
5.50,81.240,10.480
5.60,82.030,10.290
5.70,82.800,10.100
5.80,83.540,9.9280
5.90,84.260,9.7580
6.00,84.960,9.5940
6.10,85.630,9.4350
6.20,86.290,9.2820
6.30,86.940,9.1330
6.40,87.560,8.9890
6.50,88.170,8.8500
6.60,88.760,8.7150
6.70,89.330,8.5840
6.80,89.890,8.4570
6.90,90.440,8.3330
7.00,90.970,8.2130
7.10,91.490,8.0970
7.20,92.000,7.9840
7.30,92.490,7.8730
7.40,92.970,7.7660
7.50,93.440,7.6620
7.60,93.900,7.5610
7.70,94.340,7.4620
7.80,94.780,7.3660
7.90,95.210,7.2720
8.00,95.620,7.1810
9.00,99.320,6.3790
10.00,102.30,5.7390
11.00,104.80,5.2160
12.00,106.90,4.7800
13.00,108.70,4.4120
14.00,110.20,4.0960
15.00,111.50,3.8230
16.00,112.70,3.5830
17.00,113.70,3.3720
18.00,114.60,3.1850
19.00,115.50,3.0170
20.00,116.20,2.8660
22.00,117.50,2.6050
24.00,118.60,2.3880
26.00,119.50,2.2040
28.00,120.20,2.0470
30.00,120.90,1.9100
32.00,121.50,1.7910
34.00,122.00,1.6850
36.00,122.50,1.5920
38.00,122.90,1.5080
40.00,123.30,1.4330
42.00,123.60,1.3640
44.00,123.90,1.3020
46.00,124.20,1.2460
48.00,124.50,1.1940
50.00,124.70,1.1460
