M,p/p*,T/T*,rho/rho*,p0/p0*,T0/T0*
0.02,2.3990,0.002301,1042.0,1.2680,0.001918
0.04,2.3950,0.009175,261.00,1.2660,0.007648
0.06,2.3880,0.020530,116.30,1.2650,0.017120
0.08,2.3790,0.036210,65.690,1.2620,0.030220
0.10,2.3670,0.056020,42.250,1.2590,0.046780
0.12,2.3530,0.079700,29.520,1.2550,0.066610
0.14,2.3360,0.10690,21.840,1.2510,0.089470
0.16,2.3170,0.13740,16.860,1.2460,0.11510
0.18,2.2960,0.17080,13.440,1.2410,0.14320
0.20,2.2730,0.20660,11.000,1.2350,0.17360
0.22,2.2480,0.24450,9.1920,1.2280,0.20570
0.24,2.2210,0.28410,7.8170,1.2210,0.23950
0.26,2.1930,0.32500,6.7470,1.2140,0.27450
0.28,2.1630,0.36670,5.8980,1.2060,0.31040
0.30,2.1310,0.40890,5.2130,1.1990,0.34690
0.32,2.0990,0.45120,4.6520,1.1900,0.38370
0.34,2.0660,0.49330,4.1880,1.1820,0.42060
0.36,2.0310,0.53480,3.7980,1.1740,0.45720
0.38,1.9960,0.57550,3.4690,1.1650,0.49350
0.40,1.9610,0.61510,3.1880,1.1570,0.52900
0.42,1.9250,0.65350,2.9450,1.1480,0.56380
0.44,1.8880,0.69030,2.7360,1.1390,0.59750
0.46,1.8520,0.72540,2.5520,1.1310,0.63010
0.48,1.8150,0.75870,2.3920,1.1220,0.66140
0.50,1.7780,0.79010,2.2500,1.1140,0.69140
0.52,1.7410,0.81960,2.1240,1.1060,0.71990
0.54,1.7040,0.84690,2.0120,1.0980,0.74700
0.56,1.6680,0.87230,1.9120,1.0900,0.77250
0.58,1.6320,0.89550,1.8220,1.0830,0.79650
0.60,1.5960,0.91670,1.7410,1.0750,0.81890
0.62,1.5600,0.93580,1.6670,1.0680,0.83980
0.64,1.5250,0.95300,1.6010,1.0610,0.85920
0.66,1.4910,0.96820,1.5400,1.0550,0.87710
0.68,1.4570,0.98140,1.4840,1.0490,0.89350
0.70,1.4230,0.99290,1.4340,1.0430,0.90850
0.72,1.3910,1.0030,1.3870,1.0380,0.92210
0.74,1.3590,1.0110,1.3440,1.0330,0.93440
0.76,1.3270,1.0170,1.3050,1.0280,0.94550
0.78,1.2960,1.0220,1.2680,1.0230,0.95530
0.80,1.2660,1.0250,1.2340,1.0190,0.96390
0.82,1.2360,1.0280,1.2030,1.0160,0.97150
0.84,1.2070,1.0290,1.1740,1.0120,0.97810
0.86,1.1790,1.0280,1.1470,1.0100,0.98360
0.88,1.1520,1.0270,1.1210,1.0070,0.98830
0.90,1.1250,1.0250,1.0980,1.0050,0.99210
0.92,1.0980,1.0210,1.0760,1.0030,0.99510
0.94,1.0730,1.0170,1.0550,1.0020,0.99730
0.96,1.0480,1.0120,1.0350,1.0010,0.99880
0.98,1.0240,1.0060,1.0170,1.0000,0.99970
1.00,1.0000,1.0000,1.0000,1.0000,1.0000
1.02,0.9770,0.9930,0.9838,1.0000,0.9997
1.04,0.9546,0.9855,0.9686,1.0010,0.9989
1.06,0.9327,0.9776,0.9542,1.0020,0.9977
1.08,0.9115,0.9691,0.9406,1.0030,0.9960
1.10,0.8909,0.9603,0.9277,1.0050,0.9939
1.12,0.8708,0.9512,0.9155,1.0070,0.9915
1.14,0.8512,0.9417,0.9039,1.0100,0.9887
1.16,0.8322,0.9320,0.8930,1.0120,0.9856
1.18,0.8137,0.9220,0.8826,1.0160,0.9823
1.20,0.7958,0.9118,0.8727,1.0190,0.9787
1.22,0.7783,0.9015,0.8633,1.0230,0.9749
1.24,0.7613,0.8911,0.8543,1.0280,0.9709
1.26,0.7447,0.8805,0.8458,1.0330,0.9668
1.28,0.7287,0.8699,0.8376,1.0380,0.9624
1.30,0.7130,0.8592,0.8299,1.0440,0.9580
1.32,0.6978,0.8484,0.8225,1.0500,0.9534
1.34,0.6830,0.8377,0.8154,1.0560,0.9487
1.36,0.6686,0.8269,0.8086,1.0630,0.9440
1.38,0.6546,0.8161,0.8021,1.0700,0.9391
1.40,0.6410,0.8054,0.7959,1.0780,0.9343
1.42,0.6278,0.7947,0.7900,1.0860,0.9293
1.44,0.6149,0.7840,0.7843,1.0940,0.9243
1.46,0.6024,0.7735,0.7788,1.1030,0.9193
1.48,0.5902,0.7629,0.7736,1.1120,0.9143
1.50,0.5783,0.7525,0.7685,1.1220,0.9093
1.52,0.5668,0.7422,0.7637,1.1320,0.9042
1.54,0.5555,0.7319,0.7590,1.1420,0.8992
1.56,0.5446,0.7217,0.7545,1.1530,0.8942
1.58,0.5339,0.7117,0.7502,1.1640,0.8892
